bar,beer,price
Old Forge Brewing Company,Curve Ball,7.77
Old Forge Brewing Company,Mudshark Porter,6.53
Utah Brewers Cooperative,Old Bawdy 2006,5.96
Utah Brewers Cooperative,Point Defiance IPA,6.13
Utah Brewers Cooperative,Leviathan 2004,7.54
Utah Brewers Cooperative,Highwater Porter,6.03
Utah Brewers Cooperative,Old Seattle Lager,5.59
Utah Brewers Cooperative,ESB,6.34
Utah Brewers Cooperative,Baron Pilsner,6.77
Utah Brewers Cooperative,Spring Bock,4.74
Utah Brewers Cooperative,Porter,7.64
Utah Brewers Cooperative,Warminster Special Bitter,4.91
Magic Hat Brewing Company,Pilsner,5.25
Magic Hat Brewing Company,Slam Dunkelweizen,6.75
Magic Hat Brewing Company,Avatar Jasmine IPA,7.3
Magic Hat Brewing Company,N.W. Pale Ale,7.95
Magic Hat Brewing Company,Organic Amber Ale,5.24
Magic Hat Brewing Company,Barley Wine Ale,9.15
Magic Hat Brewing Company,Hefeweizen,7.57
Magic Hat Brewing Company,Highwater Porter,4.99
Magic Hat Brewing Company,Wheat Hook,4.88
Magic Hat Brewing Company,IPA,7.3
Blue Hills Brewery,Belgian White,8.82
Blue Hills Brewery,Riot Ale,6.95
Blue Hills Brewery,Doppel Bock,5.18
Blue Hills Brewery,Grand Cru,5.66
Blue Hills Brewery,First Flight Amber Ale,9.3
Blue Hills Brewery,Brown Ale,8.2
Blue Hills Brewery,Yellowjacket Pale Ale,6.67
Blue Hills Brewery,Krystal Weizen,7.69
Blue Hills Brewery,Driftwood Ale,5.65
Blue Hills Brewery,Troll Porter,5.11
Night Shift Brewing,Wee Heavy Winter Ale,8.37
Night Shift Brewing,Industrial IPA,6.41
Night Shift Brewing,Pale Ale,8.16
Night Shift Brewing,Whoville Weizenbock,5.44
Night Shift Brewing,Loki,5.43
Night Shift Brewing,Firehouse Red,4.58
Night Shift Brewing,Extra Special Bitter,5.91
Night Shift Brewing,Pyramid Apricot Weizen,8.12
Night Shift Brewing,Fauntleroy Stout,6.15
Night Shift Brewing,Extra Special Bitter,8.63
Beach Brewing Company,I.M. Pale,4.52
Beach Brewing Company,Icebreaker Barley Wine,6.25
Beach Brewing Company,Icebreaker Barley Wine,8.73
Beach Brewing Company,E.S.B.,8.44
Beach Brewing Company,India Pale Ale,6.63
Beach Brewing Company,Brown's Point ESB,6.01
Beach Brewing Company,Frosty Frog,7.81
Beach Brewing Company,Old Seattle Lager,6.65
Beach Brewing Company,Hoptoberfest,4.84
Beach Brewing Company,India Pale Ale,6
Payette Brewing Company,The Wise ESB,9.07
Payette Brewing Company,Bhagwan's Best IPA,5
Payette Brewing Company,Homeport Blonde,6.46
Payette Brewing Company,India Pale Ale,9.49
Payette Brewing Company,N.W. Pale Ale,6.57
Payette Brewing Company,Organic India Pale Ale,7.03
Payette Brewing Company,Frosty Frog,6.65
Payette Brewing Company,Sun Fest,8.59
Payette Brewing Company,Clipper Gold Hefeweizen,7.11
Payette Brewing Company,Drawbridge Blonde,9.12
Brew Bus Brewing,Sun Fest,4.77
Brew Bus Brewing,Bourbon Barrel Stout,6.69
Brew Bus Brewing,Steamer Glide Stout,8.63
Brew Bus Brewing,Del Rio Lager,5.52
Brew Bus Brewing,India Pale Ale,9.38
Brew Bus Brewing,Two Frog Dubbel,9.31
Brew Bus Brewing,Hefeweizen,8.51
Brew Bus Brewing,Hefeweizen,6.74
Brew Bus Brewing,Sun Fest,9.25
Brew Bus Brewing,Rat City IPA,6.92
Sockeye Brewing Company,IPA,9.22
Sockeye Brewing Company,Highwater Porter,6.63
Sockeye Brewing Company,India Pale Ale,5.91
Sockeye Brewing Company,Organic Amber Ale,6.88
Sockeye Brewing Company,Blonde Ale,4.91
Sockeye Brewing Company,Pyramid Broken Rake,7.32
Sockeye Brewing Company,IPA,8.42
Sockeye Brewing Company,Portage Bay Pilsener,7.4
Sockeye Brewing Company,Alembic Pale,7.74
Sockeye Brewing Company,Pale Ale,8.05
Pine Street Brewery,Light,4.62
Pine Street Brewery,Snow Melt Nitrogen Pale,6.15
Pine Street Brewery,Golden,8.59
Pine Street Brewery,Danger Ale,4.96
Pine Street Brewery,Skibbereen Stout,6.26
Pine Street Brewery,Blonde Ale,5.87
Pine Street Brewery,Industrial IPA,7.56
Pine Street Brewery,Faux Paddy Irish Ale,7.15
Pine Street Brewery,Oatmeal Stout,6.68
Pine Street Brewery,Curve Ball,5.1
Dirty Bucket Brewing Company,Luna Weizen,6.44
Dirty Bucket Brewing Company,Troll Porter,4.94
Dirty Bucket Brewing Company,Zephyrus Pilsner,6.51
Dirty Bucket Brewing Company,Wee Heavy Winter Ale,8.01
Dirty Bucket Brewing Company,Spiced Ale,6.89
Dirty Bucket Brewing Company,Sick Duck Imperial Stout,6.52
Dirty Bucket Brewing Company,Bhagwan's Best IPA,6.98
Dirty Bucket Brewing Company,XXXXX Stout,7.15
Dirty Bucket Brewing Company,Lighthouse Ale,8.56
Dirty Bucket Brewing Company,Monkfish Tripel,6.38
Jackalope Brewing Company,Del Rio Lager,7.55
Jackalope Brewing Company,Sun Fest,8.7
Jackalope Brewing Company,Irish Stout,4.94
Jackalope Brewing Company,Firehouse Red,6.46
Jackalope Brewing Company,Baron Oktoberfest,7.26
Jackalope Brewing Company,Old Woody 2005,4.67
Jackalope Brewing Company,Imperial Stout,4.53
Jackalope Brewing Company,Del Rio Lager,7.57
Jackalope Brewing Company,IPA,7.54
Jackalope Brewing Company,Irish Stout,7.02
Slanted Rock Brewing Company,Best Bitter,6.73
Slanted Rock Brewing Company,Slam Dunkelweizen,8.32
Slanted Rock Brewing Company,Snow Melt Nitrogen Pale,4.73
Slanted Rock Brewing Company,Alembic Pale,8.46
Slanted Rock Brewing Company,Redhook Long Hammer IPA,8.86
Slanted Rock Brewing Company,Redhook Long Hammer IPA,4.67
Slanted Rock Brewing Company,Cyclops Barleywine,8.84
Slanted Rock Brewing Company,Leviathan 2004,5.25
Slanted Rock Brewing Company,Nebraska Bitter,8
Slanted Rock Brewing Company,Admiral ESB,8.77
Piney River Brewing Company,Pale Ale,5.69
Piney River Brewing Company,Bourbon Barrel Stout,6.44
Piney River Brewing Company,Frosty Frog,9.15
Piney River Brewing Company,Whoville Weizenbock,8.92
Piney River Brewing Company,Three Threads Porter,7.63
Piney River Brewing Company,Industrial IPA,5.31
Piney River Brewing Company,DPA,6.6
Piney River Brewing Company,El Jefe Weizen Ale,8.36
Piney River Brewing Company,Pyramid Thunderhead IPA,8.45
Piney River Brewing Company,Hefe-Weizen,4.72
Cutters Brewing Company,Riot Ale,5.39
Cutters Brewing Company,Snow Cap,7.24
Cutters Brewing Company,XXXXX Stout,8.19
Cutters Brewing Company,Amber Weizen,4.94
Cutters Brewing Company,Blonde Ale,4.89
Cutters Brewing Company,Pale Ale,6.05
Cutters Brewing Company,Admiral ESB,7.19
Cutters Brewing Company,Firkin IPA,7.2
Cutters Brewing Company,Snow Cap,4.57
Cutters Brewing Company,Lava Rock Porter,4.96
Iron Hill Brewery & Restaurant,Warminster Special Bitter,8.65
Iron Hill Brewery & Restaurant,Ambrosia Maibock,7.45
Iron Hill Brewery & Restaurant,Skibbereen Stout,4.97
Iron Hill Brewery & Restaurant,Double Black Stout,6.4
Iron Hill Brewery & Restaurant,Pale Ale,8.19
Iron Hill Brewery & Restaurant,Thornton Creel Ale,7.66
Iron Hill Brewery & Restaurant,Organic India Pale Ale,7.27
Iron Hill Brewery & Restaurant,Humbles Blond Ale,8.4
Iron Hill Brewery & Restaurant,Monkfish Tripel,5.34
Iron Hill Brewery & Restaurant,Oak Stout,7.51
Marshall Wharf Brewing Company,Blonde Ale,9.29
Marshall Wharf Brewing Company,Imperial Stout,8.01
Marshall Wharf Brewing Company,Organic Amber Ale,7.53
Marshall Wharf Brewing Company,Grand Cru,8.82
Marshall Wharf Brewing Company,Alki Ale,9.44
Marshall Wharf Brewing Company,Steamer Glide Stout,8.83
Marshall Wharf Brewing Company,Porter,4.61
Marshall Wharf Brewing Company,Alki Ale,6.8
Marshall Wharf Brewing Company,Foster Child Australian Lager,6.17
Marshall Wharf Brewing Company,Tacoma Brew,8.68
Banner Beer Company,Three Threads Porter,5.29
Banner Beer Company,Roza Reserve,7.54
Banner Beer Company,India Pale Ale,8.41
Banner Beer Company,Danger Ale,4.86
Banner Beer Company,Black Mulligan Dublin Stout,5.48
Banner Beer Company,Saison,6.73
Banner Beer Company,Dutch Girl Lager,8.94
Banner Beer Company,Thornton Creel Ale,4.63
Banner Beer Company,Old Rip Oatmeal Stout,5.48
Banner Beer Company,Skibbereen Stout,5.38
Dick's Brewing Company,Terminator Stout,4.69
Dick's Brewing Company,Loki,7.75
Dick's Brewing Company,The Immortal IPA,8.03
Dick's Brewing Company,Pinnacle Peak Pale Ale,9.37
Dick's Brewing Company,Puget Brown Porter,6.81
Dick's Brewing Company,Blind Pig Dunkelweizen,5.14
Dick's Brewing Company,Baron Pilsner,7.28
Dick's Brewing Company,Double Black Stout,7.88
Dick's Brewing Company,Admiral ESB,6.88
Dick's Brewing Company,Steamer Glide Stout,5.66
Claremont Craft Ales,Doppel Bock,5.44
Claremont Craft Ales,Driftwood Ale,8.28
Claremont Craft Ales,Scotch brand Ale,7.84
Claremont Craft Ales,Wild Salmon Pale Ale,9.09
Claremont Craft Ales,Saison,5.85
Claremont Craft Ales,Puget Porter,5.85
Claremont Craft Ales,Portage Bay Pilsener,8.59
Claremont Craft Ales,Spiced Ale,8.77
Claremont Craft Ales,Extra Special Bitter,7.36
Claremont Craft Ales,Barley Wine Ale,7.1
Rivertown Brewing Company,Steamer Glide Stout,8.65
Rivertown Brewing Company,Pinnacle Peak Pale Ale,8.58
Rivertown Brewing Company,Bottleworks IPA,7.41
Rivertown Brewing Company,Pale Ale,6.49
Rivertown Brewing Company,Ambrosia Maibock,4.86
Rivertown Brewing Company,I.M. Pale,9.44
Rivertown Brewing Company,Sequoia Red,6.31
Rivertown Brewing Company,Amber Ale,4.89
Rivertown Brewing Company,I.M. Pale,8.73
Rivertown Brewing Company,Farm Frog,6.15
Voodoo Brewery,Monkfish Tripel,6.93
Voodoo Brewery,Whoville Weizenbock,4.6
Voodoo Brewery,Winterhook Robust Winter Ale 1993,7.94
Voodoo Brewery,Afterburner IPA,5.38
Voodoo Brewery,Winterhook Robust Winter Ale 2000,9.44
Voodoo Brewery,Wild Salmon Pale Ale,4.78
Voodoo Brewery,DPA,8.96
Voodoo Brewery,The Wise ESB,5.27
Voodoo Brewery,Afterburner IPA,9.46
Voodoo Brewery,Curve Ball,7.03
D.L. Geary Brewing Company,Snow Melt Nitrogen Pale,9.24
D.L. Geary Brewing Company,Organic India Pale Ale,4.68
D.L. Geary Brewing Company,Poseidon Imperial Stout,8.14
D.L. Geary Brewing Company,IPA,4.64
D.L. Geary Brewing Company,Red Card Lager,4.55
D.L. Geary Brewing Company,Snow Cap,6.81
D.L. Geary Brewing Company,Bock,7.37
D.L. Geary Brewing Company,Winterhook Robust Winter Ale 2000,8.37
D.L. Geary Brewing Company,Mt. Takhoma Blonde Ale,7.06
D.L. Geary Brewing Company,Deep Powder Winter Ale,4.97
Pisgah Brewing Company,Barleywine,8.87
Pisgah Brewing Company,Peacemaker Porter,7.6
Pisgah Brewing Company,Spiced Ale,6.89
Pisgah Brewing Company,Mongoose IPA,5.13
Pisgah Brewing Company,Kirkland Ale,5.23
Pisgah Brewing Company,Spring Bock,6.13
Pisgah Brewing Company,Imperial I.P.A.,6.14
Pisgah Brewing Company,Wild Banshee Barleywine,5.86
Pisgah Brewing Company,Baron Pilsner,9.22
Pisgah Brewing Company,Islander Pale Ale,4.91
Neshaminy Creek Brewing Company,10 Squared (10Â²),6.68
Neshaminy Creek Brewing Company,IPA,8.02
Neshaminy Creek Brewing Company,Hefeweizen,7.75
Neshaminy Creek Brewing Company,Barnstormer Brown Ale,4.59
Neshaminy Creek Brewing Company,Spiced Ale,7.57
Neshaminy Creek Brewing Company,Scarlet Fire IPA,6.01
Neshaminy Creek Brewing Company,Sun Fest,4.79
Neshaminy Creek Brewing Company,Tacoma Brew,6.69
Neshaminy Creek Brewing Company,Firkin IPA,7.43
Neshaminy Creek Brewing Company,Yellowjacket Pale Ale,4.98
Morgan Street Brewery,Oatmeal Stout,5.67
Morgan Street Brewery,Wild Salmon Pale Ale,7.72
Morgan Street Brewery,Icebreaker Barley Wine,6.38
Morgan Street Brewery,Yo Ho Ho Christmas Ale 2001,7.84
Morgan Street Brewery,XXXXX Stout,7.83
Morgan Street Brewery,Blacktop Porter,5.93
Morgan Street Brewery,Nebraska Bitter,7
Morgan Street Brewery,AK-47 Malt Liquor,8.81
Morgan Street Brewery,Spring Bock,6.96
Morgan Street Brewery,Highwater Porter,4.72
Half Acre Beer Company,Zephyrus Pilsner,5.27
Half Acre Beer Company,Point Defiance IPA,5.48
Half Acre Beer Company,Clipper Gold Hefeweizen,4.91
Half Acre Beer Company,Humbles Blond Ale,8.35
Half Acre Beer Company,IPA,6.81
Half Acre Beer Company,Auld Acquaintance Spiced Ale,8.26
Half Acre Beer Company,Brown Ale,6
Half Acre Beer Company,Fauntleroy Stout,5.98
Half Acre Beer Company,Red Menace Big Amber,4.62
Half Acre Beer Company,SunRye,5.8
The Just Beer Project,Free Bike Amber,7.63
The Just Beer Project,Elysian Fields Pale Ale,6.03
The Just Beer Project,Double Diamond Winter,6.5
The Just Beer Project,Blonde Ale,8.13
The Just Beer Project,Snow Melt Nitrogen Pale,7.1
The Just Beer Project,Silk Lady,8.55
The Just Beer Project,Redhook Long Hammer IPA,7.13
The Just Beer Project,Heat Seeker Hefe,5.77
The Just Beer Project,Three Threads Porter,7.2
The Just Beer Project,Deep Powder Winter Ale,6.16
The Bronx Brewery,Curve Ball,7.88
The Bronx Brewery,Weissbier,5.73
The Bronx Brewery,Pseudo Lambic Framboise,7.2
The Bronx Brewery,Old Woody 2005,7.45
The Bronx Brewery,Wheat Hook,5.22
The Bronx Brewery,Navidad,6.99
The Bronx Brewery,Scarlet Fire IPA,4.96
The Bronx Brewery,Maibock,7.72
The Bronx Brewery,IPA,5.81
The Bronx Brewery,Deep Powder Winter Ale,6.06
Dead Armadillo Craft Brewing,Rye,6.91
Dead Armadillo Craft Brewing,Double Diamond Winter,6.8
Dead Armadillo Craft Brewing,Loki,9.3
Dead Armadillo Craft Brewing,Snow Cap,7.62
Dead Armadillo Craft Brewing,Blonde Ale,9.21
Dead Armadillo Craft Brewing,Detonator Doppelbock,5.57
Dead Armadillo Craft Brewing,Bock,8.55
Dead Armadillo Craft Brewing,Wild Salmon Pale Ale,9.15
Dead Armadillo Craft Brewing,Mt. Takhoma Blonde Ale,8.66
Dead Armadillo Craft Brewing,Nebraska Bitter,8.62
Catawba Brewing Company,BiFrÃ¶st Winter Ale,5.64
Catawba Brewing Company,AK-47 Malt Liquor,7.85
Catawba Brewing Company,Perseus Porter,7.64
Catawba Brewing Company,Black Hook Porter,5.92
Catawba Brewing Company,Kilt Lifter Scotch Ale,7.99
Catawba Brewing Company,Pale Ale,5.15
Catawba Brewing Company,India Pale Ale,5.58
Catawba Brewing Company,Humbles Blond Ale,8.98
Catawba Brewing Company,Elysian Fields Pale Ale,9.18
Catawba Brewing Company,Oktoberfest,7.76
La Cumbre Brewing Company,Scarlet Fire IPA,8.49
La Cumbre Brewing Company,XXXXX Stout,4.6
La Cumbre Brewing Company,Porter,9
La Cumbre Brewing Company,Ambrosia Maibock,7.51
La Cumbre Brewing Company,Bourbon Barrel Stout,6.29
La Cumbre Brewing Company,Frosty Frog,4.94
La Cumbre Brewing Company,Navidad,8.71
La Cumbre Brewing Company,Porter,8.27
La Cumbre Brewing Company,Pyramid Apricot Weizen,7.14
La Cumbre Brewing Company,Winterhook Robust Winter Ale 1993,7.49
David's Ale Works,Warminster Special Bitter,4.99
David's Ale Works,Loki,8.92
David's Ale Works,Bock,5.36
David's Ale Works,Gale Force IPA,5.77
David's Ale Works,Oatmeal Stout,6.91
David's Ale Works,Organic Amber Ale,6.85
David's Ale Works,Best Bitter,9.1
David's Ale Works,Two Frog Dubbel,6.99
David's Ale Works,Hammerhead Ale,5.34
David's Ale Works,Snow Cap,5.51
The Traveler Beer Company,Snow Cap,6.22
The Traveler Beer Company,Point Defiance IPA,5.33
The Traveler Beer Company,Admiral ESB,4.77
The Traveler Beer Company,Roza Reserve,5.93
The Traveler Beer Company,Castaway Barley Wine Winter Ale,6.25
The Traveler Beer Company,Pinnacle Peak Pale Ale,8.46
The Traveler Beer Company,No Doubt Stout,4.86
The Traveler Beer Company,The Immortal IPA,4.84
The Traveler Beer Company,Nebraska Bitter,8.54
The Traveler Beer Company,Jolly Roger,8.33
Fargo Brewing Company,Belgian White,5.09
Fargo Brewing Company,Pseudo Lambic Framboise,7.23
Fargo Brewing Company,Dry Hopped IPA,9.21
Fargo Brewing Company,Oak Stout,9.23
Fargo Brewing Company,XXXXX Stout,7.05
Fargo Brewing Company,Puget Brown Porter,6.88
Fargo Brewing Company,Light,7.32
Fargo Brewing Company,Sick Duck Imperial Stout,4.85
Fargo Brewing Company,Old Bawdy 2006,8.56
Fargo Brewing Company,Auld Acquaintance Spiced Ale,8.99
Big Sky Brewing Company,Fauntleroy Stout,5.05
Big Sky Brewing Company,Three Threads Porter,8.81
Big Sky Brewing Company,Humbles Blond Ale,8.62
Big Sky Brewing Company,Apricot Weizen Ale,6.81
Big Sky Brewing Company,Baron Oktoberfest,8.43
Big Sky Brewing Company,Prime Time Pale Ale,6.78
Big Sky Brewing Company,Porter,7.75
Big Sky Brewing Company,Cream Stout,6.84
Big Sky Brewing Company,Dutch Girl Lager,7.09
Big Sky Brewing Company,Bhagwan's Best IPA,4.99
Nebraska Brewing Company,Yo Ho Ho Christmas Ale 2001,8.66
Nebraska Brewing Company,Steamer Glide Stout,7.03
Nebraska Brewing Company,Yellowjacket Pale Ale,6.1
Nebraska Brewing Company,Zephyrus Pilsner,9.26
Nebraska Brewing Company,Amber Weizen,6.79
Nebraska Brewing Company,XXXXX Stout,4.92
Nebraska Brewing Company,Amber Weizen,6.49
Nebraska Brewing Company,Hefe Weizen,9.29
Nebraska Brewing Company,Bourbon Barrel Stout,8.58
Nebraska Brewing Company,Spitfire Best Bitter,7.63
Uncle John's Fruit House Winery,Roza Reserve,7.11
Uncle John's Fruit House Winery,Winterhook Robust Winter Ale 1993,8.31
Uncle John's Fruit House Winery,Oktoberfest,8.4
Uncle John's Fruit House Winery,The Wise ESB,6.07
Uncle John's Fruit House Winery,Golden,7.27
Uncle John's Fruit House Winery,Saison,6.48
Uncle John's Fruit House Winery,Clipper Gold Hefeweizen,5.08
Uncle John's Fruit House Winery,Del Rio Lager,7.35
Uncle John's Fruit House Winery,Pyramid Apricot Weizen,6.6
Uncle John's Fruit House Winery,Mt. Takhoma Blonde Ale,7.24
Wormtown Brewery,India Pale Ale,8.84
Wormtown Brewery,Amber Ale,5.25
Wormtown Brewery,Drawbridge Blonde,4.71
Wormtown Brewery,I.M. Pale,4.93
Wormtown Brewery,No Doubt Stout,4.63
Wormtown Brewery,Barnstormer Brown Ale,9.23
Wormtown Brewery,Two Frog Dubbel,7.14
Wormtown Brewery,Cream Stout,4.81
Wormtown Brewery,Weisse,7.42
Wormtown Brewery,The Wise ESB,7.53
Due South Brewing Company,Highwater Porter,8.78
Due South Brewing Company,Puget Brown Porter,7.53
Due South Brewing Company,Traditional ESB,9.43
Due South Brewing Company,Zephyrus Pilsner,7.68
Due South Brewing Company,India Pale Ale,9.26
Due South Brewing Company,Belgian White,8.78
Due South Brewing Company,Nut Brown,7.58
Due South Brewing Company,Double Diamond Winter,4.55
Due South Brewing Company,Elysian Fields Pale Ale,9.24
Due South Brewing Company,Silk Lady,8.56
Palisade Brewing Company,Baron Schwarzbier,8.13
Palisade Brewing Company,Winterhook Robust Winter Ale 2000,5.93
Palisade Brewing Company,Amber Ale,5.84
Palisade Brewing Company,Heat Seeker Hefe,7.56
Palisade Brewing Company,Baron Oktoberfest,6.11
Palisade Brewing Company,BiFrÃ¶st Winter Ale,6.31
Palisade Brewing Company,El Jefe Weizen Ale,7.59
Palisade Brewing Company,Puget Brown Porter,6.67
Palisade Brewing Company,SunRye,7.66
Palisade Brewing Company,Curve Ball,8.6
KelSo Beer Company,Winterhook Robust Winter Ale 2000,6.14
KelSo Beer Company,Silk Lady,9.34
KelSo Beer Company,Blind Pig Dunkelweizen,7.81
KelSo Beer Company,Gale Force IPA,5.87
KelSo Beer Company,DPA,8.27
KelSo Beer Company,Penitentiary Porter,7.31
KelSo Beer Company,Silk Lady,4.52
KelSo Beer Company,Drawbridge Blonde,7.43
KelSo Beer Company,Scarlet Fire IPA,7.48
KelSo Beer Company,Brown's Point ESB,8.01
Hardywood Park Craft Brewery,Troll Porter,4.65
Hardywood Park Craft Brewery,Nut Brown,4.71
Hardywood Park Craft Brewery,Oak Stout,6.43
Hardywood Park Craft Brewery,India Pale Ale,9.15
Hardywood Park Craft Brewery,Whoville Weizenbock,6.85
Hardywood Park Craft Brewery,Danger Ale,7.27
Hardywood Park Craft Brewery,Pyramid Hefe Weizen,7.88
Hardywood Park Craft Brewery,Slam Dunkelweizen,7.95
Hardywood Park Craft Brewery,Amber Ale,7.15
Hardywood Park Craft Brewery,Bhagwan's Best IPA,9.02
Wolf Hills Brewing Company,Hart Espresso Stout,5.44
Wolf Hills Brewing Company,Barnstormer Brown Ale,5.03
Wolf Hills Brewing Company,Faux Paddy Irish Ale,8.23
Wolf Hills Brewing Company,Kirkland Ale,6.24
Wolf Hills Brewing Company,Baron Pilsner,6.52
Wolf Hills Brewing Company,Old Seattle Lager,6.14
Wolf Hills Brewing Company,Driftwood Ale,8.38
Wolf Hills Brewing Company,Cyclops Barleywine,4.77
Wolf Hills Brewing Company,Hart Espresso Stout,5.84
Wolf Hills Brewing Company,Elysian Fields Pale Ale,7.11
Lavery Brewing Company,Possession Porter,8.32
Lavery Brewing Company,Sequoia Red,6.91
Lavery Brewing Company,Afterburner IPA,5.35
Lavery Brewing Company,Traditional ESB,6.33
Lavery Brewing Company,Tilted Kilt Ale,5.66
Lavery Brewing Company,Imperial I.P.A.,8.34
Lavery Brewing Company,Alki Ale,5.59
Lavery Brewing Company,Flagship Red Alt Ale,8.21
Lavery Brewing Company,Traditional ESB,8.28
Lavery Brewing Company,India Pale Ale,4.72
Manzanita Brewing Company,Faux Paddy Irish Ale,6.81
Manzanita Brewing Company,Golden,6.29
Manzanita Brewing Company,Luna Weizen,5.04
Manzanita Brewing Company,India Pale Ale,6.31
Manzanita Brewing Company,Pale Ale,9.12
Manzanita Brewing Company,Thunder Head IPA,7.17
Manzanita Brewing Company,Humbles Blond Ale,6.08
Manzanita Brewing Company,Luna Weizen,4.67
Manzanita Brewing Company,Pale Ale,7.5
Manzanita Brewing Company,Weisse,8.85
Fullsteam Brewery,Golden,5.12
Fullsteam Brewery,Roza Reserve,7.55
Fullsteam Brewery,Hammerhead Ale,7.33
Fullsteam Brewery,Black Hook Porter,9.1
Fullsteam Brewery,Amber Ale,5.75
Fullsteam Brewery,Moss Bay Extra,8.97
Fullsteam Brewery,Old Rip Oatmeal Stout,7.75
Fullsteam Brewery,Wee Heavy Winter Ale,6.99
Fullsteam Brewery,Islander Pale Ale,8
Fullsteam Brewery,Wild Salmon Pale Ale,9.01
Four Horsemen Brewing Company,Peacemaker Porter,6.71
Four Horsemen Brewing Company,Lava Rock Porter,4.83
Four Horsemen Brewing Company,Yo Ho Ho Christmas Ale 2001,8.07
Four Horsemen Brewing Company,Imperial Stout,6.15
Four Horsemen Brewing Company,Zephyrus Pilsner,5.19
Four Horsemen Brewing Company,Rat City IPA,7.18
Four Horsemen Brewing Company,Silk Lady,6.63
Four Horsemen Brewing Company,Baron Schwarzbier,9.48
Four Horsemen Brewing Company,Admiral ESB,4.52
Four Horsemen Brewing Company,Spitfire Best Bitter,9.45
Hinterland Brewery,Scarlet Fire IPA,8.02
Hinterland Brewery,5 |000 Year Ale,7.23
Hinterland Brewery,Belgian White,5.11
Hinterland Brewery,Bourbon Barrel Stout,8.26
Hinterland Brewery,Wheat Hook,6.33
Hinterland Brewery,Pinnacle Peak Pale Ale,8.38
Hinterland Brewery,Pyramid Hefe Weizen,9.32
Hinterland Brewery,Troll Porter,7.58
Hinterland Brewery,Rye,5.59
Hinterland Brewery,Skagit Brown Ale,5
Central Coast Brewing Company,Apricot Weizen Ale,9.22
Central Coast Brewing Company,Red Card Lager,5.06
Central Coast Brewing Company,Golden,7.26
Central Coast Brewing Company,Nut Brown,7.58
Central Coast Brewing Company,Tilted Kilt Ale,8.45
Central Coast Brewing Company,Grand Cru,7.48
Central Coast Brewing Company,Troll Porter,6.18
Central Coast Brewing Company,India Pale Ale,5.19
Central Coast Brewing Company,Organic India Pale Ale,9.4
Central Coast Brewing Company,Traditional ESB,4.78
Westfield River Brewing Company,Grand Cru,4.93
Westfield River Brewing Company,Zephyrus Pilsner,5.04
Westfield River Brewing Company,Golden Ale,5.9
Westfield River Brewing Company,Pale Ale,6.93
Westfield River Brewing Company,Kilt Lifter Scotch Ale,6.95
Westfield River Brewing Company,Elysian Fields Pale Ale,7.88
Westfield River Brewing Company,Catalina Common Lager,4.79
Westfield River Brewing Company,Tacoma Brew,6.08
Westfield River Brewing Company,Yo Ho Ho Christmas Ale 2001,5.24
Westfield River Brewing Company,Lighthouse Ale,5.65
Elevator Brewing Company,Curve Ball,7.96
Elevator Brewing Company,Best Bitter,4.8
Elevator Brewing Company,Oatmeal Stout,5.14
Elevator Brewing Company,Barnstormer Brown Ale,5.29
Elevator Brewing Company,Terminator Stout,5.5
Elevator Brewing Company,Heat Seeker Hefe,9.35
Elevator Brewing Company,Whoville Weizenbock,9.06
Elevator Brewing Company,Bhagwan's Best IPA,8.41
Elevator Brewing Company,Thunder Head IPA,8.52
Elevator Brewing Company,Catalina Common Lager,7.75
Aslan Brewing Company,WinterFish Ale,4.78
Aslan Brewing Company,Winterhook Robust Winter Ale 2000,8.73
Aslan Brewing Company,Admiral ESB,6.76
Aslan Brewing Company,Imperial Pale,8.81
Aslan Brewing Company,El Jefe Weizen Ale,5.17
Aslan Brewing Company,India Pale Ale,8.89
Aslan Brewing Company,Baron Oktoberfest,8.36
Aslan Brewing Company,ESB,5.76
Aslan Brewing Company,Leviathan 2004,7.95
Aslan Brewing Company,Icebreaker Barley Wine,8.66
Kulshan Brewery,Porter,4.97
Kulshan Brewery,Firehouse Red,7.52
Kulshan Brewery,Blacktop Porter,8.39
Kulshan Brewery,Flagship Red Alt Ale,6.82
Kulshan Brewery,Golden Ale,7.4
Kulshan Brewery,DPA,9.37
Kulshan Brewery,Tilted Kilt Ale,7.15
Kulshan Brewery,Danger Ale,8.46
Kulshan Brewery,Dutch Girl Lager,8.06
Kulshan Brewery,Black Mulligan Dublin Stout,7.75
Pikes Peak Brewing Company,Drawbridge Blonde,8.43
Pikes Peak Brewing Company,Alki Ale,7.01
Pikes Peak Brewing Company,Spitfire Best Bitter,5.75
Pikes Peak Brewing Company,Ambrosia Maibock,4.75
Pikes Peak Brewing Company,Warminster Special Bitter,6.88
Pikes Peak Brewing Company,Peacemaker Porter,8.88
Pikes Peak Brewing Company,Drawbridge Blonde,4.94
Pikes Peak Brewing Company,Bock,5.15
Pikes Peak Brewing Company,Avatar Jasmine IPA,6.59
Pikes Peak Brewing Company,Riot Ale,7.44
Manayunk Brewing Company,Oak Stout,4.92
Manayunk Brewing Company,Drawbridge Blonde,4.69
Manayunk Brewing Company,Hefe Weizen,5.6
Manayunk Brewing Company,Cream Stout,6.19
Manayunk Brewing Company,Catalina Common Lager,8.92
Manayunk Brewing Company,India Pale Ale,6.21
Manayunk Brewing Company,Cyclops Barleywine,8.11
